Country,Ecosystem,Stratum,Year,Estimate,SE,Source,Protected_Status
Angola,Southeast Angola,Southeast Angola,2005,1827,598,GEC report,No
Angola,Southeast Angola,Southeast Angola,2015,1437,600,Chase & Griffin. 2011. African Journal of Ecology 49: 353–361.,No
Botswana,Northern Botswana,Central district,1995,499,367.5655539,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Central district,1996,1543,519.6436333,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Central district,1999,954,479.9757703,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Central district,2001,9361,3038.506416,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Central district,2002,3213,710.7357563,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Central district,2004,14221,4328.870279,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Central district,2006,21192,4613.542335,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Central district,2010,7500,1205.354231,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Central district,2012,6796,2249.780673,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Central district,2013,30549,7267.584578,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Central district,2014,13813,2739.935604,GEC report,No
Botswana,Northern Botswana,Chobe district,1995,28263,6520.840286,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),Yes
Botswana,Northern Botswana,Chobe district,1996,45106,7235.123966,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),Yes
Botswana,Northern Botswana,Chobe district,1999,37578,5482.684279,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),Yes
Botswana,Northern Botswana,Chobe district,2001,47619,7390.23323,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),Yes
Botswana,Northern Botswana,Chobe district,2002,57431,5515.601807,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),Yes
Botswana,Northern Botswana,Chobe district,2004,56960,5950.226707,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),Yes
Botswana,Northern Botswana,Chobe district,2006,54817,6522.278444,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),Yes
Botswana,Northern Botswana,Chobe district,2010,54090,3854.289604,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),Yes
Botswana,Northern Botswana,Chobe district,2012,72272,11758.938,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),Yes
Botswana,Northern Botswana,Chobe district,2014,28530,2073.570377,GEC report,Yes
Botswana,Northern Botswana,Ngamiland,1995,54216,6313.475264,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Ngamiland,1996,58602,6747.740539,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Ngamiland,1999,75118,8458.883935,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Ngamiland,2001,70566,8952.338355,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Ngamiland,2002,66009,6721.591168,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Ngamiland,2004,79216,6976.380712,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
Botswana,Northern Botswana,Ngamiland,2006,80519,6666.74851,Schlossberg et al. unpublished manuscript (based on re-analysis of raw survey data),No
